First Name,Last Name,Name,Age,Location,Gender,Ethnicity,Education,Occupation,Email,Phone_Number,Contact_Status,Additional_Info
Maryann,Royster,Maryann Royster,47,Albany,m,Asian,Masters,Engineer,mroyster@royster.com,518-448-8982,0,
Alisha,Slusarski,Alisha Slusarski,19,Middlesex,f,Other,Doctorate,Sales,alisha@slusarski.com,732-635-3453,0,
Allene,Iturbide,Allene Iturbide,26,Stevens Point,f,White,Doctorate,Sales,allene_iturbide@cox.net,715-530-9863,0,
Chanel,Caudy,Chanel Caudy,22,Shawnee,m,White,Masters,Customer Relations,chanel.caudy@caudy.org,913-899-1103,0,
Ezekiel,Chui,Ezekiel Chui,44,Easton,f,White,College,Customer Relations,ezekiel@chui.com,410-235-8738,0,
Willow,Kusko,Willow Kusko,18,New York,m,White,Other,Engineer,wkusko@yahoo.com,212-934-5167,0,
Bernardo,Figeroa,Bernardo Figeroa,58,Conroe,m,Hispanic,Other,Engineer,bfigeroa@aol.com,936-597-3614,0,
Ammie,Corrio,Ammie Corrio,59,Columbus,f,Hispanic,College,Crusty Crab Employee,ammie@corrio.com,614-648-3265,0,
Francine,Vocelka,Francine Vocelka,43,Las Cruces,m,Hispanic,College,Crusty Crab Employee,francine_vocelka@vocelka.com,505-335-5293,0,
Ernie,Stenseth,Ernie Stenseth,52,Ridgefield Park,m,Hispanic,College,Stay At Home Parent,ernie_stenseth@aol.com,201-387-9093,0,
Albina,Glick,Albina Glick,40,Dunellen,m,Black,College,Stay At Home Parent,albina@glick.com,732-782-6701,0,
Alishia,Sergi,Alishia Sergi,39,New York,m,Black,Doctorate,Finance,asergi@gmail.com,212-753-2740,0,
Solange,Shinko,Solange Shinko,36,Metairie,f,White,Doctorate,Crusty Crab Employee,solange@shinko.com,504-265-8174,0,
Jose,Stockham,Jose Stockham,37,New York,f,White,Doctorate,Crusty Crab Employee,jose@yahoo.com,212-569-4233,0,
Rozella,Ostrosky,Rozella Ostrosky,19,Camarillo,m,Black,Doctorate,Customer Relations,rozella.ostrosky@ostrosky.com,805-609-1531,0,
Valentine,Gillian,Valentine Gillian,40,San Antonio,f,Black,High School,Customer Relations,valentine_gillian@gmail.com,210-300-6244,0,
Kati,Rulapaugh,Kati Rulapaugh,32,Abilene,m,Hispanic,High School,Stay At Home Parent,kati.rulapaugh@hotmail.com,785-219-7724,0,
Youlanda,Schemmer,Youlanda Schemmer,34,Prineville,f,Hispanic,College,Stay At Home Parent,youlanda@aol.com,541-993-2611,0,
Dyan,Oldroyd,Dyan Oldroyd,64,Overland Park,f,Hispanic,College,Customer Relations,doldroyd@aol.com,913-645-8918,0,
Roxane,Campain,Roxane Campain,22,Fairbanks,m,Other,High School,Customer Relations,roxane@hotmail.com,907-335-6568,0,
Lavera,Perin,Lavera Perin,45,Miami,f,Other,High School,Crusty Crab Employee,lperin@perin.org,305-995-2078,0,
Erick,Ferencz,Erick Ferencz,21,Fairbanks,m,Other,Doctorate,Crusty Crab Employee,erick.ferencz@aol.com,907-227-6777,0,
Fatima,Saylors,Fatima Saylors,26,Hopkins,f,Asian,Doctorate,Engineer,fsaylors@saylors.org,952-479-2375,0,
Jina,Briddick,Jina Briddick,50,Boston,m,Asian,Doctorate,Engineer,jina_briddick@briddick.com,617-997-5771,0,
Kanisha,Waycott,Kanisha Waycott,19,Los Angeles,m,Black,Doctorate,Stay At Home Parent,kanisha_waycott@yahoo.com,323-315-7314,0,
Emerson,Bowley,Emerson Bowley,28,Madison,m,Black,Doctorate,Stay At Home Parent,emerson.bowley@bowley.org,608-658-7940,0,
Blair,Malet,Blair Malet,38,Philadelphia,f,Black,Doctorate,Student,bmalet@yahoo.com,215-794-4519,0,
Brock,Bolognia,Brock Bolognia,63,New York,m,Black,Doctorate,Student,bbolognia@yahoo.com,212-617-5063,0,
Lorrie,Nestle,Lorrie Nestle,65,Tullahoma,m,Other,Doctorate,Stay At Home Parent,lnestle@hotmail.com,931-303-6041,0,
Sabra,Uyetake,Sabra Uyetake,29,Columbia,m,Other,Doctorate,Stay At Home Parent,sabra@uyetake.org,803-681-3678,0,
Marjory,Mastella,Marjory Mastella,25,Wayne,m,White,High School,Customer Relations,mmastella@mastella.com,610-379-7125,0,
Karl,Klonowski,Karl Klonowski,47,Flemington,m,White,High School,Customer Relations,karl_klonowski@yahoo.com,908-470-4661,0,
Tonette,Wenner,Tonette Wenner,22,Westbury,f,Asian,Other,Customer Relations,twenner@aol.com,516-333-4861,0,
Amber,Monarrez,Amber Monarrez,64,Jenkintown,m,Asian,Other,Customer Relations,amber_monarrez@monarrez.org,215-329-6386,0,
Shenika,Seewald,Shenika Seewald,47,Van Nuys,f,Black,Masters,Stay At Home Parent,shenika@gmail.com,818-749-8650,0,
Delmy,Ahle,Delmy Ahle,32,Providence,f,Black,Masters,Stay At Home Parent,delmy.ahle@hotmail.com,401-559-8961,0,
Deeanna,Juhas,Deeanna Juhas,24,Huntingdon Valley,m,Other,Doctorate,Customer Relations,deeanna_juhas@gmail.com,215-417-9563,0,
Blondell,Pugh,Blondell Pugh,56,Providence,f,Other,Doctorate,Customer Relations,bpugh@aol.com,401-300-8122,0,
Jamal,Vanausdal,Jamal Vanausdal,35,Monroe Township,m,Hispanic,Doctorate,Crusty Crab Employee,jamal@vanausdal.org,732-904-2931,0,
Cecily,Hollack,Cecily Hollack,52,Austin,f,Hispanic,Doctorate,Crusty Crab Employee,cecily@hollack.org,512-861-3814,0,
Carmelina,Lindall,Carmelina Lindall,53,Littleton,f,Asian,College,Engineer,carmelina_lindall@lindall.com,303-874-5160,0,
Maurine,Yglesias,Maurine Yglesias,54,Milwaukee,m,Asian,College,Engineer,maurine_yglesias@yglesias.com,414-573-7719,0,
Tawna,Buvens,Tawna Buvens,38,New York,m,White,Masters,Finance,tawna@gmail.com,212-462-9157,0,
Penney,Weight,Penney Weight,23,Anchorage,f,White,Masters,Sales,penney_weight@aol.com,907-873-2882,0,
Elly,Morocco,Elly Morocco,51,Erie,m,Other,Masters,Sales,elly_morocco@gmail.com,814-420-3553,0,
Ilene,Eroman,Ilene Eroman,18,Glen Burnie,f,Other,Masters,Crusty Crab Employee,ilene.eroman@hotmail.com,410-937-4543,0,
Vallie,Mondella,Vallie Mondella,48,Boise,f,Other,High School,Crusty Crab Employee,vmondella@mondella.com,208-737-8439,0,
Kallie,Blackwood,Kallie Blackwood,50,San Francisco,m,Other,High School,Customer Relations,kallie.blackwood@gmail.com,415-604-7609,0,
Johnetta,Abdallah,Johnetta Abdallah,50,Chapel Hill,f,Black,Doctorate,Customer Relations,johnetta_abdallah@aol.com,919-715-3791,0,
Bobbye,Rhym,Bobbye Rhym,50,San Carlos,m,Black,Doctorate,Customer Relations,brhym@rhym.com,650-811-9032,0,
Micaela,Rhymes,Micaela Rhymes,54,Concord,f,Other,College,Customer Relations,micaela_rhymes@gmail.com,925-522-7798,0,
Tamar,Hoogland,Tamar Hoogland,43,London,m,Other,College,Customer Relations,tamar@hotmail.com,740-526-5410,0,
Moon,Parlato,Moon Parlato,61,Wellsville,m,Other,Masters,Customer Relations,moon@yahoo.com,585-498-4278,0,
Laurel,Reitler,Laurel Reitler,55,Baltimore,m,Other,Masters,Manager,laurel_reitler@reitler.com,410-957-6903,0,
Delisa,Crupi,Delisa Crupi,60,Newark,m,White,High School,Manager,delisa.crupi@crupi.com,973-847-9611,0,
Viva,Toelkes,Viva Toelkes,59,Chicago,f,White,High School,Stay At Home Parent,viva.toelkes@gmail.com,773-352-3437,0,
Elza,Lipke,Elza Lipke,62,Newark,m,Asian,High School,Stay At Home Parent,elza@yahoo.com,973-796-3667,0,
Devorah,Chickering,Devorah Chickering,40,Clovis,f,Asian,Other,Manager,devorah@hotmail.com,505-950-1763,0,
Timothy,Mulqueen,Timothy Mulqueen,54,Staten Island,m,White,Other,Manager,timothy_mulqueen@mulqueen.org,718-654-7063,0,
Arlette,Honeywell,Arlette Honeywell,48,Jacksonville,f,White,College,Finance,ahoneywell@honeywell.com,904-514-9918,0,
Dominque,Dickerson,Dominque Dickerson,52,Hayward,f,White,College,Finance,dominque.dickerson@dickerson.org,510-901-7640,0,
Lettie,Isenhower,Lettie Isenhower,25,Beachwood,m,White,Masters,Engineer,lettie_isenhower@yahoo.com,216-733-8494,0,
Myra,Munns,Myra Munns,32,Euless,f,Asian,Masters,Engineer,mmunns@cox.net,817-451-3518,0,
Stephaine,Barfield,Stephaine Barfield,62,Gardena,m,Asian,High School,Manager,stephaine@barfield.com,310-968-1219,0,
Lai,Gato,Lai Gato,24,Evanston,f,Hispanic,High School,Manager,lai.gato@gato.org,847-957-4614,0,
Stephen,Emigh,Stephen Emigh,43,Akron,f,Hispanic,Masters,Crusty Crab Employee,stephen_emigh@hotmail.com,330-700-2312,0,
Tyra,Shields,Tyra Shields,64,Philadelphia,m,Asian,Masters,Crusty Crab Employee,tshields@gmail.com,215-228-8264,0,
Tammara,Wardrip,Tammara Wardrip,38,Burlingame,f,Black,Doctorate,Crusty Crab Employee,twardrip@cox.net,650-216-5075,0,
Cory,Gibes,Cory Gibes,36,San Gabriel,f,Black,Doctorate,Crusty Crab Employee,cory.gibes@gmail.com,626-696-2777,0,
Danica,Bruschke,Danica Bruschke,46,Waco,m,Hispanic,College,Manager,danica_bruschke@gmail.com,254-205-1422,0,
Wilda,Giguere,Wilda Giguere,54,Anchorage,f,Hispanic,College,Manager,wilda@cox.net,907-914-9482,0,
Elvera,Benimadho,Elvera Benimadho,49,San Jose,m,White,College,Student,elvera.benimadho@cox.net,408-440-8447,0,
Carma,Vanheusen,Carma Vanheusen,63,San Leandro,f,White,College,Student,carma@cox.net,510-452-4835,0,
Malinda,Hochard,Malinda Hochard,20,Indianapolis,f,Black,High School,Finance,malinda.hochard@yahoo.com,317-472-2412,0,
Natalie,Fern,Natalie Fern,46,Rock Springs,m,White,High School,Finance,natalie.fern@hotmail.com,307-279-3793,0,
Lisha,Centini,Lisha Centini,48,Mc Lean,f,Black,Masters,Student,lisha@centini.org,703-475-7568,0,
